average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$300.00,2,College Station,October 2016,"My place is close to TAMU Campus. You’ll love my place because of the kitchen, the high ceilings, and the location. My place is good for couples, business travelers, and families (with kids).",Gameday Sleepover,https://www.airbnb.com/rooms/15375359?location=College%20Station%2C%20TX
$800.00,3,La Porte,January 2017,"This house is great for multiple couples or family with kids. There is a covered patio with patio table and chairs. Two air mattress available if needed. Located 20 minutes from downtown and hobby airport. Walmart, grocery stores,restaurants and shopping centers within walking distance.",SuperBowl 2017 home rental,https://www.airbnb.com/rooms/16961546?location=Beach%20City%2C%20TX
$800.00,2,College Station,September 2016,"My place is close to Parks, Kyle Field, Restaurants . You’ll love my place because of the location and the outdoors space. My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends (pets).",3 Bedroom Home. (2 Private Rooms for Rental),https://www.airbnb.com/rooms/15189493?location=College%20Station%2C%20TX
$25.00,1,Plano,June 2017,this listing is only for females,"very nice semi master suite, meadow view",https://www.airbnb.com/rooms/19143553?location=Celina%2C%20TX
$50.00,1,Fort Worth,April 2017,Nice home with modern decor,North Fort Worth home,https://www.airbnb.com/rooms/18586605?location=Bedford%2C%20TX
$35.00,1,Euless,April 2016,"Euless is 6 miles from DFW airport and in between Dallas and Ft Worth, close to attractions like six flags, Cowboy and Rangers stadiums and golf. Also near American Airline training center. We are a pet friendly home and charge $60 fee per week per pet it $10/day.",Private room near airport,https://www.airbnb.com/rooms/12171433?location=Colleyville%2C%20TX
$135.00,2,Austin,November 2016,"If you're looking for a comfortable place in Brentwood with character then you've found it. It's a great launching pad for your Austin adventure located right in the Burnet district a stones throw to quick public transit downtown. Walk to several bars including Lala's (famous Christmas bar), Yard Bar, Pour House, or Aristocrat and several top notch restaurants: Stubb's BBQ, Bufalina Due, Barley Swine, Flyrite, or Lick!",Austin Private Patio Convenient Downtown - Burnet,https://www.airbnb.com/rooms/16067140?location=Cedar%20Park%2C%20TX
$35.00,1,Houston,January 2016,"Hi! Our house is tucked away at the end of a quiet cul-de-sac and is 20 minute easy drive to Houston Intercontinental Airport. We have easy access to Kingwood's great greenbelts for walking and running. We are a busy family with two kids and three wonderful dogs, but our house is your house when you stay with us! You'll have your own private bedroom (upstairs) and a full bath (downstairs). A second private bedroom with an air mattress is available for larger parties.",Comfortable Family Home near IAH,https://www.airbnb.com/rooms/14555472?location=Cleveland%2C%20TX
$45.00,1,San Antonio,April 2016,"Room for rent, Mountains view, clear space, wonderful neighborhood only 5 minutes from La Cantera area. The bathroom and game room will make you feel like home. Coffee, towels, soap, shampoo provided by host.",Charming room 5 minutes La Cantera!,https://www.airbnb.com/rooms/14728853?location=Boerne%2C%20TX
$275.00,3,Irving,June 2015,"Clean, modern 2-story townhouse in Las Colinas, 3 miles away from the Byron Nelson golf tournament, and 2 miles away from DFW Airport. Our home is perfect for a large group or family. Enjoy the open floorplan and relax on the back patio.","Cute 3br in Las Colinas, 3mi from Byron Nelson",https://www.airbnb.com/rooms/18349225?location=Colleyville%2C%20TX
$89.00,Studio,Katy,February 2017,"Room In the Heart of Katy!\nProximity to the Energy Corridor, La Centerra, Katy Mills. ONE ROOM FOR ONE PERSON. POOL. Golf Course. Full Bathroom. Close to I10-99 Park Toll Way\n\nNO PETS, NO SMOKING, NO DRUGS, Valid Driver License Due at Arrival. Thanks!",Book Now! Room In the Heart of Katy!,https://www.airbnb.com/rooms/17448109?location=Cinco%20Ranch%2C%20TX
$200.00,1,New Braunfels,December 2012,"Modern luxury meets new-urban charm in Town Creek, where the brand-new TCTX Urban Lodge awaits just minutes from the historic downtown.",the TCTX: lush pool in a secret courtyard (E ste.),https://www.airbnb.com/rooms/15742579?location=Comal%20River%2C%20TX
$750.00,3,Buchanan Dam,April 2017,"Fun in the sun represents family values, great experiences and irreplaceable memories. Experience your private boat ramp and dock, and one of a kind hill country scenery. The refreshing water and secluded location allow you to float or swim without any disturbances.",Fun in the Sun Lake House,https://www.airbnb.com/rooms/18395173?location=Buchanan%20Dam%2C%20TX
$200.00,4,Humble,November 2014,"4 Bedrooms, 1 living room, 1 study room, 3 full bathrooms, 1 half restroom, master bedroom w/ Jacuzzi, upstairs game room, backyard patio w/ table&amp;shade. Located 15 min from Houston. Quiet neighborhood. Close to Walmart, 10 min from mall, movies etc",2 Story Home by Bush Int'l Airport,https://www.airbnb.com/rooms/4520039?location=Channelview%2C%20TX
$48.00,1,Baytown,October 2013,"Fully furnished Studio Apartment with private entrance (above detached garage). Includes one queen sized bed and a full sized pop-up sofa bed. Fully equipped kitchen(Keurig, pans, cutlery and dishes) 42\",Home away from home: Studio Apt.,https://www.airbnb.com/rooms/16284048?location=Channelview%2C%20TX
$145.00,1,Gary City,February 2016,Oak Haven Lakeside Cottages is a perfect \,Oak Haven Lakeside Cottages,https://www.airbnb.com/rooms/11226403?location=Center%2C%20TX
$20.00,1,Irving,June 2016,"My place is good for couples, solo adventurers, business travelers, families and groups of four. I have two rooms listed. The room comes with refrigerator and TV. We are LGBT friendly, and all cultures and religions are welcome.",DFW airport cozy room,https://www.airbnb.com/rooms/13880761?location=Coppell%2C%20TX
$40.00,1,Bryan,October 2014,My place is close to Texas A&amp;M Vet School. You’ll love my place because of the location. My and my dog are friendly and quiet. My place is great for students and researchers visiting Aggieland.,Cosy room close to Texas A&M Vet School,https://www.airbnb.com/rooms/13561050?location=College%20Station%2C%20TX
$1000.00,2,Houston,February 2013,"Our 2/2 townhouse is only a 9-min ride from NRG Stadium, the Medical Center, AND all of the cultural, dining, and nightlife offerings of the museum district, midtown, and downtown. Hobby Airport is a short cab ride away. Perfectly situated in a safe community it offers immediate access to the heart of H-town via 45 freeway and the 610 loop. \n\nEnjoy access to safe parking, high speed, secure WiFi, Premium Cable, W&amp;D, and separate climate control for each individual floor.",Perfect Townhome for Super Bowl LI & Beyond,https://www.airbnb.com/rooms/16892588?location=Channelview%2C%20TX
$345.00,4,Eustace,July 2016,"This exceptional 4-bedroom, 3-bathroom house will provide the ultimate lakefront getaway for your next Texas vacation. With room for 12 guests, immense home comforts, and a terrific location on Cedar Creek Lake, this outstanding home has it all!",'Open Water Retreat' - 4BR Eustace Lakefront Home,https://www.airbnb.com/rooms/14595212?location=Cedar%20Creek%20Reservoir%2C%20TX
$650.00,4,Conroe,January 2017,"Rent this beautiful home built in 2015! It's in the new section of the subdivision. The house has 4 bedrooms and 2 baths. It is a one and a half story home with 2300 sq ft in total. The house is on a corner lot located in Conroe, TX, about 10 minutes drive to The Woodlands or Lake Conroe. Please let me know if you are interested. Thanks for looking!",Rent a Home! Built 2015! Corner lot!,https://www.airbnb.com/rooms/16655071?location=Cleveland%2C%20TX
$75.00,1,Colleyville,November 2015,"Lovely guest suite with all the amenities of home! Queen sleep number bed, 50\",Charming Suburban Escape,https://www.airbnb.com/rooms/17873586?location=Colleyville%2C%20TX
$99.00,1,Mabank,October 2016,"Room at the Lake, whether your just traveling through and need a room for your stay or looking for a weekend get-a-way at the Lake. Just a short Stroll through the Countryside at Cedar Creek Lake.",Room at the Lake,https://www.airbnb.com/rooms/15370783?location=Cedar%20Creek%20Reservoir%2C%20TX
$100.00,3,Cibolo,March 2017,"My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends (pets).",Home away from home.,https://www.airbnb.com/rooms/17573982?location=Cibolo%2C%20TX
$375.00,5,New Braunfels,April 2015,"Our house is in a well established neighborhood with Many trees and wide streets. Deer can be seen every day and often in our yard. We are close to the park, river and Schlitterbahn. You’ll love our place because of the open and family friendly space. Our place is good for couples, solo adventurers, and families (with kids).",On the Hill,https://www.airbnb.com/rooms/13248453?location=Cibolo%2C%20TX
,1,Mexia,March 2017,"Cozy cabin at Lake Mexia has nice lake views, fishing area, &amp; boat launch available. Luxe queen size bed &amp; comfy couch has quality sleeping for 3. A perfect get away spot for fishing or some peace &amp; quiet! 35 miles from Waco and Fairfield, 99 miles to the Metroplex! Nice local boutiques and dining with excellent prices! Oversized bath tub /shower! Book your stay today!",Cozy cabin with great lake views!,https://www.airbnb.com/rooms/17703417?location=Corsicana%2C%20TX
,1,Fort Worth,September 2015,"We are located in a quiet neighborhood. Cute house, comfy bed. Room sleeps two-fur kids welcome! On demand car service in house. Need directions? Recommendations? Reservations? We're here to help! Let us know if there's anything we can do to make your stay more enjoyable!",Room And A Pool 2,https://www.airbnb.com/rooms/17676938?location=Cleburne%2C%20TX
,1,Galveston,September 2016,"My place is close to the beach, family-friendly activities, nightlife, restaurants and dining, and great views. You’ll love my place because of the neighborhood and the comfy bed. My place is good for couples and solo adventurers.",down to earth private room (share common areas),https://www.airbnb.com/rooms/16725101?location=Bayou%20Vista%2C%20TX
$195.00,2,Allen,March 2014,"After a stressful day of activities, you can come home to swim in the private secluded pool or soak in the hot tub! Multiple outdoor seating areas allow you to relax and unwind in the sun or under the stars. Large lighted covered porch has ceiling fans for your comfort. Board/card/dice games are also available. Located near I-75 but Hwy 121 is about 10 min away, and I-635 in Dallas is about 20 min from me. We are located in a quiet neighborhood with tons of activities/restaurants close by.","Quiet 5 bed, 1 bath home w/pool and hot tub.",https://www.airbnb.com/rooms/13504229?location=Celina%2C%20TX
$345.00,3,Pipe Creek,July 2015,"Creek View Quarters is close to Boerne, Fiesta Texas, Sea World, San Antonio and Bandera. You’ll love it because it is located in a beautiful part of the Texas Hill Country with wonderful the river access. Great for couples, solo adventurers, business travelers, and families (with kids).",Rockin B Ranch Creek View Quarters,https://www.airbnb.com/rooms/13801395?location=Center%20Point%2C%20TX
$63.00,Studio,Houston,March 2015,"Sweet deal! Small, beautifully decorated efficency apt. above our detached garage on 1 acre landscaped lot. Completely private! Very quiet. Wifi, Roko tv. Queen bed, Rain Shower/bathtub. \n12 min-hobby airpot\n13 min- downtown\n20 min- galleria mall\n7 Miles to SUPER BOWL NRG STADIUM!",Sweet Retreat!,https://www.airbnb.com/rooms/5728100?location=Channelview%2C%20TX
